w0,w1,w2,w3,a0,a1,a2,a3,b0,b1,b2,b3,direction
272,432,128,368,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,440,128,360,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,448,128,352,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,456,128,344,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,464,128,336,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,472,128,328,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,480,128,320,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,488,128,312,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,496,128,304,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,504,128,296,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,512,128,288,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,520,128,280,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,528,128,272,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,536,128,264,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,544,128,256,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,552,128,248,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,560,128,240,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,568,128,232,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,576,128,224,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,584,128,216,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,592,128,208,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,600,128,200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,608,128,192,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,616,128,184,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,624,128,176,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,632,128,168,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,640,128,160,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,648,128,152,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,656,128,144,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,664,128,136,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,672,128,128,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,680,128,120,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,688,128,112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,696,128,104,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,704,128,96,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,712,128,88,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,720,128,80,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,728,128,72,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,736,128,64,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,744,128,56,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,752,128,48,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,760,128,40,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,768,128,32,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,776,128,24,,,,,0.0,1.0,0.0,0.0,0
264,776,136,24,,,,,0.0,0.0,1.0,0.0,0
256,776,144,24,,,,,0.0,0.0,1.0,0.0,0
248,776,152,24,,,,,0.0,0.0,1.0,0.0,0
240,776,160,24,,,,,0.0,0.0,1.0,0.0,0
232,776,168,24,,,,,0.0,0.0,1.0,0.0,0
224,776,176,24,,,,,0.0,0.0,1.0,0.0,0
216,776,184,24,,,,,0.0,0.0,1.0,0.0,0
208,776,192,24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
208,768,192,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,760,192,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,752,192,48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,744,192,56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,736,192,64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,728,192,72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,720,192,80,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,712,192,88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,704,192,96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,696,192,104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,688,192,112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
208,680,192,120,,,,,0.0,0.0,0.0,1.0,0
200,680,200,120,,,,,0.0,0.0,1.0,0.0,0
192,680,208,120,,,,,0.0,0.0,1.0,0.0,0
184,680,216,120,,,,,0.0,0.0,1.0,0.0,0
176,680,224,120,,,,,0.0,0.0,1.0,0.0,0
168,680,232,120,,,,,0.0,0.0,1.0,0.0,0
160,680,240,120,,,,,0.0,0.0,1.0,0.0,0
152,680,248,120,,,,,0.0,0.0,1.0,0.0,0
144,680,256,120,,,,,0.0,0.0,1.0,0.0,0
136,680,264,120,,,,,0.0,0.0,1.0,0.0,0
128,680,272,120,,,,,0.0,0.0,1.0,0.0,0
120,680,280,120,,,,,0.0,0.0,1.0,0.0,0
112,680,288,120,,,,,0.0,0.0,1.0,0.0,0
104,680,296,120,,,,,0.0,0.0,1.0,0.0,0
96,680,304,120,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
96,672,304,128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,664,304,136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,656,304,144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,648,304,152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,640,304,160,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,632,304,168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,624,304,176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,616,304,184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,608,304,192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,600,304,200,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,592,304,208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,584,304,216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,576,304,224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,568,304,232,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,560,304,240,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,552,304,248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,544,304,256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,536,304,264,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,528,304,272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
96,520,304,280,,,,,0.0,0.0,0.0,1.0,2
104,520,296,280,,,,,1.0,0.0,0.0,0.0,2
112,520,288,280,,,,,1.0,0.0,0.0,0.0,2
120,520,280,280,,,,,1.0,0.0,0.0,0.0,2
128,520,272,280,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
128,512,272,288,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,504,272,296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,496,272,304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,488,272,312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,480,272,320,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,472,272,328,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,464,272,336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,456,272,344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,448,272,352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,440,272,360,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,432,272,368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,424,272,376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,416,272,384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,408,272,392,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,400,272,400,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,392,272,408,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,384,272,416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,376,272,424,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,368,272,432,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,360,272,440,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,352,272,448,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,344,272,456,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,336,272,464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,328,272,472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,320,272,480,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,312,272,488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,304,272,496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,296,272,504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,288,272,512,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,280,272,520,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,272,272,528,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,264,272,536,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,256,272,544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,248,272,552,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,240,272,560,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,232,272,568,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,224,272,576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,216,272,584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,208,272,592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,200,272,600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,192,272,608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,184,272,616,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,176,272,624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,168,272,632,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,160,272,640,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,152,272,648,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,144,272,656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,136,272,664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,128,272,672,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,120,272,680,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,112,272,688,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,104,272,696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,96,272,704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,88,272,712,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,80,272,720,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,72,272,728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,64,272,736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,56,272,744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,48,272,752,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,40,272,760,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,32,272,768,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
128,24,272,776,,,,,0.0,0.0,0.0,1.0,2
136,24,264,776,,,,,1.0,0.0,0.0,0.0,2
144,24,256,776,,,,,1.0,0.0,0.0,0.0,2
152,24,248,776,,,,,1.0,0.0,0.0,0.0,2
160,24,240,776,,,,,1.0,0.0,0.0,0.0,2
168,24,232,776,,,,,1.0,0.0,0.0,0.0,2
176,24,224,776,,,,,1.0,0.0,0.0,0.0,2
184,24,216,776,,,,,1.0,0.0,0.0,0.0,2
192,24,208,776,,,,,1.0,0.0,0.0,0.0,2
200,24,200,776,,,,,1.0,0.0,0.0,0.0,2
208,24,192,776,,,,,1.0,0.0,0.0,0.0,2
216,24,184,776,,,,,1.0,0.0,0.0,0.0,2
224,24,176,776,,,,,1.0,0.0,0.0,0.0,2
232,24,168,776,,,,,1.0,0.0,0.0,0.0,2
240,24,160,776,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3
240,32,160,768,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,40,160,760,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,48,160,752,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,56,160,744,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,64,160,736,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,72,160,728,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,80,160,720,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,88,160,712,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,96,160,704,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,104,160,696,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,112,160,688,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,120,160,680,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,128,160,672,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,136,160,664,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,144,160,656,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,152,160,648,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,160,160,640,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,168,160,632,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,176,160,624,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,184,160,616,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,192,160,608,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,200,160,600,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,208,160,592,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,216,160,584,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,224,160,576,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,232,160,568,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,240,160,560,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,248,160,552,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,256,160,544,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,264,160,536,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,272,160,528,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,280,160,520,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,288,160,512,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,296,160,504,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,304,160,496,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,312,160,488,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,320,160,480,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,328,160,472,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,336,160,464,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,344,160,456,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,352,160,448,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,360,160,440,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,368,160,432,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,376,160,424,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,384,160,416,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,392,160,408,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,400,160,400,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,408,160,392,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,416,160,384,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,424,160,376,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,432,160,368,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,440,160,360,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,448,160,352,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,456,160,344,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,464,160,336,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,472,160,328,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,480,160,320,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,488,160,312,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,496,160,304,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,504,160,296,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,512,160,288,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,520,160,280,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,528,160,272,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,536,160,264,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,544,160,256,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,552,160,248,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,560,160,240,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,568,160,232,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,576,160,224,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,584,160,216,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,592,160,208,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,600,160,200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,608,160,192,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
240,616,160,184,,,,,0.0,1.0,0.0,0.0,0
232,616,168,184,,,,,0.0,0.0,1.0,0.0,0
224,616,176,184,,,,,0.0,0.0,1.0,0.0,0
216,616,184,184,,,,,0.0,0.0,1.0,0.0,0
208,616,192,184,,,,,0.0,0.0,1.0,0.0,0
200,616,200,184,,,,,0.0,0.0,1.0,0.0,0
192,616,208,184,,,,,0.0,0.0,1.0,0.0,0
184,616,216,184,,,,,0.0,0.0,1.0,0.0,0
176,616,224,184,,,,,0.0,0.0,1.0,0.0,0
168,616,232,184,,,,,0.0,0.0,1.0,0.0,0
160,616,240,184,,,,,0.0,0.0,1.0,0.0,0
152,616,248,184,,,,,0.0,0.0,1.0,0.0,0
144,616,256,184,,,,,0.0,0.0,1.0,0.0,0
136,616,264,184,,,,,0.0,0.0,1.0,0.0,0
128,616,272,184,,,,,0.0,0.0,1.0,0.0,0
120,616,280,184,,,,,0.0,0.0,1.0,0.0,0
112,616,288,184,,,,,0.0,0.0,1.0,0.0,0
104,616,296,184,,,,,0.0,0.0,1.0,0.0,0
96,616,304,184,,,,,0.0,0.0,1.0,0.0,0
88,616,312,184,,,,,0.0,0.0,1.0,0.0,0
80,616,320,184,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
80,608,320,192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
